Open,High,Low,Volume,Close
5117.52002,5143.930176,4976.009766,26600,5102.220215
5116.580078,5163.609863,5049.209961,29000,5081.950195
5054.450195,5107.600098,5019.390137,31400,5058.549805
5026.919922,5026.919922,4821.589844,25000,4835.390137
4760.279785,4830.080078,4665.209961,37000,4759.620117
4792.009766,4899.529785,4792.009766,35000,4835.120117
4846.089844,4946.149902,4846.089844,30800,4923.689941
4972.27002,5012.52002,4789.629883,26400,4817.990234
4803.310059,4902.27002,4759.350098,34000,4889
4927.5,4991.47998,4905.529785,38400,4938.149902
4960.870117,4970.390137,4891.859863,31800,4962.629883
4972.339844,5000.589844,4945.240234,31000,4963.75
4954.060059,4975.75,4919.939941,33000,4944.640137
4931.490234,4945.859863,4823.100098,27000,4832.709961
4810.419922,4810.419922,4725.390137,27600,4746.009766
4696.509766,4824.029785,4696.509766,29600,4814.850098
4837.359863,4863.629883,4772.100098,30000,4788.799805
4791.299805,4859.810059,4746.509766,27400,4839.879883
4822.080078,4828.189941,4750.72998,28600,4769.990234
4770.649902,4790.930176,4731.720215,28600,4738.620117
4732.950195,4767.350098,4717.779785,23800,4735.859863
4742.799805,4752.470215,4635.169922,29200,4644
4656.810059,4717.740234,4613.939941,31400,4708.549805
4717.830078,4775.660156,4680.419922,40400,4756.390137
4784.580078,4844.720215,4772.870117,39400,4837.600098
4838.740234,4873.709961,4802.040039,28600,4841.379883
4859.939941,4877.899902,4788.850098,34200,4795.459961
4813.759766,4879.810059,4785.939941,35600,4874.049805
4842.459961,4895.47998,4813.160156,33200,4870.580078
4861.149902,4894.390137,4831.850098,32000,4843.77002
4846.419922,4939.399902,4839.180176,24200,4928.589844
4919.540039,4987.049805,4912.220215,29600,4955.970215
4972.060059,5004.169922,4808.629883,35000,4843.839844
4766.490234,4954.859863,4723.040039,47800,4945.47998
4949.419922,4967.919922,4917.379883,23600,4944.540039
4961.870117,4978.490234,4878.060059,17000,4898.990234
4911.220215,4933.339844,4835.339844,16000,4848.299805
4849.379883,4900.180176,4844.660156,24600,4888.189941
4894.399902,4961.319824,4874.459961,26600,4951.169922
4957.080078,5009.629883,4942.430176,25800,4975.399902
4974.52002,4982.040039,4936.600098,21600,4957.879883
4973.879883,5041.189941,4951.549805,21800,4993.759766
5041.140137,5082.810059,5020.689941,20200,5054.290039
5073.100098,5086.029785,5034.200195,37400,5073.339844
5046.990234,5126.450195,5034.22998,35000,5118.169922
5130.859863,5155.629883,5068.620117,28600,5075.879883
5087.660156,5104.660156,5045.459961,40800,5070.290039
5082.609863,5133.799805,5051.490234,28000,5120.450195
5134.919922,5200.850098,5134.919922,28800,5170.319824
5193.25,5210.919922,5167.290039,28800,5202.529785
5213.549805,5242.149902,5181.990234,22000,5194.629883
5189.879883,5201.560059,5145.220215,29400,5169.069824
5178.609863,5257.319824,5178.609863,27200,5252.779785
5249.72998,5262.890137,5166.189941,24000,5196.990234
5176.390137,5240.290039,5154.319824,30200,5233.209961
5248.459961,5266.990234,5214.990234,26200,5252.049805
5263.27002,5269.220215,5159.529785,26000,5175.160156
5167.52002,5194.040039,5117.799805,28600,5139.77002
5126.910156,5144.700195,5084.509766,27000,5102.919922
5105.259766,5114.790039,5056.069824,93800,5102.370117
5124.290039,5148.529785,5083.029785,24600,5102.939941
5103.970215,5103.970215,5025.490234,23400,5038.279785
5056.169922,5132.830078,5056.169922,24200,5123.649902
5128.100098,5128.100098,5047.75,23200,5064.660156
5064.419922,5080.220215,5022.290039,24000,5033.689941
5048.629883,5084.740234,5040.709961,27400,5067.390137
5073.22998,5093.370117,5054.560059,21000,5088.560059
5105.379883,5145.600098,5105.379883,19000,5135.450195
5147.859863,5148.75,5094.560059,22400,5117.009766
5130.540039,5192.799805,5130.540039,18800,5186.450195
5192.180176,5202.509766,5155.959961,14800,5192.080078
5202.160156,5222.810059,5202.02002,16200,5210.850098
5218.950195,5233.319824,5189.290039,16200,5198.720215
5190.689941,5223.939941,5178.569824,19200,5218.459961
5226.089844,5264.870117,5226.089844,17600,5246.22998
5245.160156,5270.890137,5240.149902,17000,5264.669922
5281.109863,5305.669922,5270.660156,19200,5298.160156
5307.830078,5328.330078,5269.509766,20200,5298.22998
5305.419922,5376.120117,5281.060059,21600,5370.049805
5380.709961,5421.52002,5379.600098,21200,5397.459961
5409.52002,5434.330078,5376.040039,21400,5428.77002
5441.959961,5456.850098,5399.339844,26400,5420.089844
5415.459961,5483.589844,5401,27600,5477.680176
5493.720215,5569.470215,5493.370117,23400,5561.149902
5562.680176,5585.569824,5535.569824,26400,5545.819824
5547.490234,5611.600098,5536,25600,5605.930176
5609.959961,5638.790039,5571.839844,27600,5616.870117
5597.319824,5609.040039,5530.859863,28000,5539.47998
5527.220215,5575.399902,5513.680176,27400,5527.75
5530,5545.72998,5486.410156,22600,5511.810059
5506.830078,5518.209961,5454.850098,15800,5462.609863
5477.609863,5533.330078,5428.200195,20400,5527.560059
5545.259766,5598.549805,5545.259766,23400,5583.609863
5587.459961,5685.680176,5573.560059,24400,5675.540039
5706.319824,5785.040039,5706.319824,24400,5766.299805
5761.660156,5786.540039,5741.700195,20600,5758.669922
5761.439941,5799.919922,5699.319824,22800,5713.75
5718.640137,5793.080078,5718.640137,26800,5773.660156
5782.629883,5803.819824,5755.419922,24600,5776.850098
5764.859863,5792.080078,5706.970215,19600,5717.540039
5750.359863,5762.600098,5663.790039,13000,5676.72998
null,null,null,18200,null
5677.870117,5738.609863,5645.660156,null,5713.100098
5735.490234,5758.109863,5673.75,17600,5686.72998
5706.830078,5727.959961,5670.370117,16200,5679.830078
5691.470215,5751.600098,5686.970215,12400,5738.109863
5738.439941,5750.140137,5662.759766,14800,5673.02002
5680.439941,5685.180176,5617.370117,18400,5641.060059
null,null,null,19000,null
5633.47998,5645.879883,5573.189941,null,5581.490234
5591.009766,5654.819824,5558.140137,18200,5651.089844
5656.709961,5699.180176,5623.040039,22000,5662.870117
5700.990234,5733.75,5700.990234,19800,5715.620117
5724.459961,5731.350098,5664.040039,23400,5672.27002
5678.649902,5714.359863,5649.029785,22600,5704.100098
5713.240234,5765.140137,5713.240234,15600,5754.759766
5772.319824,5845.5,5771.72998,14400,5842.540039
5871.620117,5883.390137,5814.370117,17000,5832.879883
5833.330078,5900.509766,5823.439941,15000,5891.359863
5912.52002,5955.939941,5912.52002,14000,5930.470215
5937.339844,5957.939941,5910.410156,14400,5929.600098
5918.950195,5979.779785,5918.950195,14800,5973.75
5980.029785,5995.330078,5943.330078,14400,5954.310059
5985.049805,6001.990234,5945.97998,13800,5964.009766
6000.109863,6036.700195,5997.740234,13800,6016.580078
6019.850098,6035.220215,5985.569824,14800,6025.470215
6030.810059,6044.549805,5953.419922,14800,5961.709961
5921.009766,5979.100098,5877.970215,15000,5963.799805
5988.279785,6031.589844,5977.759766,14000,6009.859863
6001.459961,6053.189941,6001.459961,14600,6035.950195
6033.799805,6081.740234,6014.97998,12800,6035.029785
6195.02002,6248.430176,6194.609863,23000,6234.290039
6259.279785,6272.680176,6176.089844,18800,6227.830078
6275.410156,6335.140137,6275.410156,26600,6328.430176
6348.319824,6361.529785,6304.220215,26200,6322.759766
6351.040039,6386.290039,6312.129883,20600,6322.5
6324.069824,6354.259766,6287.459961,18800,6316.279785
6333.040039,6359.200195,6250.240234,17800,6261.52002
6259.5,6319.009766,6241.27002,26000,6304.27002
6328.100098,6336.899902,6221.399902,19400,6233.540039
6231.470215,6274.240234,6220.580078,17600,6268.720215
6280.560059,6331.569824,6280.490234,14600,6325.529785
6334.27002,6423.27002,6334.27002,14000,6402.290039
6401.189941,6437,6373.549805,22400,6420.379883
6420.899902,6436.080078,6329.709961,18600,6346.47998
6360.109863,6409.52002,6345.870117,16800,6403
6429.25,6461.640137,6400.560059,16800,6451.299805
