Open,Volume,High,Low,Close
1781.01001,19510000,1796.219971,1763.290039,1778.5
1784.119995,14970000,1794.300049,1762.089966,1810.699951
1822.199951,19030000,1817.410034,1775.97998,1821.719971
1824.22998,22460000,1849.73999,1806.51001,1818.609985
1822.079956,14670000,1841.829956,1803.160034,1790.109985
1786.280029,19440000,1829.02002,1777.540039,1795.26001
1796.459961,15750000,1803.640015,1769.76001,1766.400024
1762.930054,16890000,1809.27002,1753.709961,1739.219971
1734.550049,17090000,1772.869995,1728.449951,1735.51001
1750.359985,14410000,1749.040039,1712.52002,1769.76001
1784.359985,17210000,1779.569946,1737.069946,1778.619995
1791.069946,16930000,1807.709961,1754.189941,1794.300049
1800.719971,69590000,1807.829956,1768.199951,1790.180054
1791.420044,20660000,1812.5,1779.140015,1805.310059
1799.849976,11010000,1811.380005,1781,1809.650024
1823.410034,14870000,1822.050049,1789.680054,1847.969971
1849.079956,32130000,1859.619995,1814.72998,1855.030029
1851.810059,22630000,1870.160034,1831.719971,1840.400024
1842.51001,21670000,1870.160034,1830.97998,1855.900024
1858.26001,15270000,1864.209961,1829.859985,1830.97998
1823.410034,19290000,1866.439941,1815.969971,1829.609985
1831.719971,15840000,1841.27002,1803.939941,1831.719971
1836.430054,17920000,1848.459961,1818.949951,1835.569946
1834.199951,15330000,1848.459961,1813.73999,1843.75
1848.829956,13680000,1852.660034,1817.709961,1825.890015
1825.400024,16400000,1856.150024,1813.119995,1783.97998
1777.900024,17270000,1831.22998,1777.900024,1777.780029
1782.23999,18550000,1796.880005,1761.040039,1774.680054
1777.530029,14840000,1795.880005,1763.140015,1793.77002
1799.359985,11680000,1800.349976,1770.959961,1787.949951
1782.369995,14540000,1803.319946,1775.920044,1775.300049
1780.75,16960000,1790.050049,1755.209961,1786.209961
1779.640015,16110000,1797.869995,1768.47998,1789.430054
1786.459961,13850000,1797.119995,1767.72998,1787.329956
1790.550049,12030000,1804.319946,1774.800049,1785.339966
1790.430054,14660000,1804.069946,1772.319946,1808.280029
1803.939941,15790000,1815.22998,1775.550049,1774.680054
1770.959961,14560000,1808.780029,1766.98999,1759.800049
1763.140015,13480000,1775.670044,1749.880005,1758.180054
1758.560059,8460000,1769.839966,1746.530029,1783.97998
1783.47998,10860000,1788.439941,1752.47998,1775.170044
1782.609985,11770000,1798.609985,1766.619995,1806.300049
1812.25,17100000,1813.73999,1774.180054,1823.290039
1833.160034,12660000,1842.140015,1804.689941,1853.030029
1862.01001,12540000,1856.560059,1823.47998,1878.280029
1874.869995,18020000,1891.790039,1851.920044,1882.349976
1872.51001,14940000,1892.969971,1857.420044,1876.709961
1874.189941,16210000,1898.219971,1857.949951,1861.949951
1860.73999,12370000,1886.170044,1845.530029,1870.430054
1876.349976,12520000,1875.540039,1845.670044,1863.290039
1865.180054,12240000,1882,1846.339966,1879.439941
1879.97998,11090000,1880.790039,1851.180054,1885.900024
1878.77002,11160000,1894.380005,1866.119995,1840.150024
1836.380005,12020000,1880.25,1833.829956,1837.189941
1842.030029,13590000,1852.800049,1816.069946,1846.069946
1846.069946,11320000,1854.680054,1825.75,1838.130005
1848.219971,8810000,1851.859985,1826.290039,1874.189941
1880.52002,14390000,1883.209961,1843.920044,1871.77002
1877.619995,12530000,1890.609985,1863.290039,1865.780029
1867.839966,12330000,1886.97998,1853.939941,1868.939941
1864.400024,12620000,1881.329956,1843.75,1855.859985
1864.400024,12560000,1883.119995,1851.459961,1879.540039
1873.48999,17720000,1882.849976,1847.640015,1864.26001
1867.430054,15250000,1883.400024,1853.390015,1875.550049
1879.540039,13430000,1891.800049,1853.939941,1885.050049
1890.040039,15320000,1903.359985,1870.319946,1880.199951
1885.969971,10900000,1897.219971,1867.410034,1885.26001
1884.97998,10240000,1898.900024,1871.339966,1892.719971
1889.76001,12360000,1908.619995,1876.119995,1903.540039
1905.51001,15550000,1911.280029,1878.52002,1909.030029
1911.280029,12080000,1922.670044,1891.310059,1900.869995
1893.97998,10490000,1918.589966,1887.22998,1838.859985
1822.130005,16480000,1895.530029,1834.079956,1820.72998
1825.079956,19530000,1834.359985,1794.98999,1826.069946
1833.800049,15930000,1838.579956,1807.650024,1831.829956
1832.109985,16340000,1842.939941,1799.069946,1821.430054
1809.339966,12950000,1840.969971,1810.880005,1793.449951
1789.790039,13140000,1816.650024,1785.290039,1768.699951
1776.859985,24310000,1805.540039,1760.119995,1774.180054
1778.680054,16140000,1794.290039,1759.699951,1781.780029
1781.359985,16060000,1802.72998,1762.089966,1777.97998
1774.180054,21220000,1807.369995,1754.640015,1779.109985
1777,10040000,1792.599976,1763.920044,1795.130005
1796.400024,14990000,1810.459961,1769.119995,1798.369995
1797.810059,14630000,1813.699951,1780.089966,1791.619995
1799.780029,13040000,1806.810059,1778.680054,1810.040039
1806.949951,11420000,1821.569946,1791.060059,1773.900024
1776.430054,15650000,1815.23999,1760.26001,1766.869995
1768.97998,14070000,1788.949951,1752.949951,1779.390015
1779.810059,22940000,1794.150024,1741.560059,1775.310059
1775.310059,14490000,1794.290039,1764.199951,1763.640015
1753.089966,11380000,1788.800049,1753.089966,1769.969971
1787.819946,16320000,1785.150024,1730.599976,1777
1771.650024,20270000,1800.199951,1766.869995,1779.530029
1774.75,15330000,1788.670044,1759.839966,1786.280029
1786.420044,12530000,1802.02002,1766.170044,1782.619995
1786.699951,12850000,1799.780029,1769.689941,1811.160034
1824.380005,16930000,1824.660034,1779.25,1835.48999
1836.189941,15490000,1840.550049,1804.420044,1844.48999
1844.069946,17470000,1860.660034,1822.97998,1844.910034
1848.140015,11790000,1859.810059,1832.540039,1855.599976
1857.98999,15040000,1863.609985,1829.02002,1869.52002
1867.550049,12620000,1875.140015,1842.660034,1862.910034
1861.219971,10990000,1880.199951,1846.880005,1881.329956
1883.719971,17790000,1889.339966,1849.969971,1881.189941
1879.780029,15170000,1899.469971,1864.310059,1887.800049
1887.650024,10640000,1899.040039,1868.109985,1871.77002
1876.550049,10590000,1893.420044,1860.52002,1904.25
1904.25,16880000,1911.280029,1870.5,1904.530029
1896.790039,15760000,1918.589966,1887.800049,1900.170044
1896.930054,12460000,1912.26001,1882.72998,1898.339966
1903.26001,9580000,1913.530029,1883.439941,1870.359985
1861.920044,17070000,1913.390015,1857.420044,1881.329956
1884.699951,16070000,1888.219971,1852.780029,1919.709961
1918.72998,22890000,1927.869995,1877.25,1899.75
1889.76001,21020000,1933.349976,1890.189941,1888.640015
1898.339966,15270000,1907.060059,1866.839966,1884.140015
1885.689941,14460000,1909.449951,1874.02002,1879.5
1861.640015,14290000,1897.5,1863.050049,1792.890015
1794.150024,30720000,1868.670044,1780.790039,1758.719971
1772.920044,34990000,1805.400024,1733.550049,1767.579956
1763.219971,18220000,1786.97998,1746.199951,1778.540039
1780.369995,14790000,1785.01001,1739.599976,1769.400024
1763.219971,16470000,1799.349976,1757.869995,1774.180054
1765.469971,17290000,1789.930054,1748.030029,1762.650024
1771.369995,22560000,1783.040039,1747.609985,1793.449951
1795.97998,23340000,1797.810059,1761.670044,1797.810059
1798.22998,21370000,1809.76001,1778.540039,1803.290039
1799.48999,18210000,1820.02002,1786.280029,1768.560059
1759.420044,18930000,1803.150024,1753.800049,1769.689941
1759.560059,11980000,1788.099976,1750.140015,1755.199951
1761.390015,14890000,1768.97998,1732.98999,1767.579956
1775.030029,16390000,1790.349976,1750.140015,1782.900024
1778.819946,21430000,1805.819946,1762.650024,1781.209961
1793.449951,12120000,1796.540039,1767.719971,1774.180054
1772.920044,18200000,1806.380005,1761.25,1784.449951
1787.400024,11360000,1794.849976,1763.359985,1784.449951
1777.560059,22650000,1799.349976,1765.189941,1803.849976
1802.589966,21570000,1812.430054,1772.219971,1796.819946
1790.920044,19390000,1824.23999,1785.849976,1793.170044
1792.599976,12110000,1806.380005,1780.930054,1798.369995
1797.670044,6660000,1806.949951,1781.5,1800.199951
1799.209961,17490000,1816.51001,1783.319946,1831.689941
1835.48999,18260000,1835.77002,1792.180054,1836.189941
